word,category,meanHappiness,meanAnger,meanSadness,meanFear,meanDisgust
łąka,H,5.4615383,1.0769231,1.2307693,1.1538461,1.2307693
melodyjny,H,5.230769,1.1538461,1.5384616,1,1
prezent,H,5.576923,1.1923077,1.3076923,1.3846154,1.0384616
upojny,H,5.269231,1.1538461,1.5,1.6153846,1.3461539
pozdrawiać,H,5.1153846,1.0769231,1.3461539,1.4230769,1.2692307
seks,H,5.9615383,1.3653846,1.5192307,2.3653846,1.3269231
maj,H,5.576923,1.3076923,1.9230769,1.3461539,1.3076923
wesoły,H,6.0384617,1.1923077,1.2307693,1.1923077,1.1923077
rozradowany,H,6.0384617,1.1923077,1.3076923,1.0769231,1.1923077
sukces,H,6,1.5769231,1.5769231,2.2692308,1.3461539
raj,H,6.3076925,1.2307693,1.8846154,1.9230769,1.1153846
genialny,H,5.423077,1.6538461,1.4230769,1.5769231,1.1923077
wiosna,H,6.076923,1.3076923,1.4615384,1.4615384,1.0769231
sjesta,H,5.8076925,1.2692307,1.2692307,1.0769231,1.1923077
koniczyna,H,4.730769,1.0769231,1.0384616,1,1
łóżko,H,5.269231,1.1923077,1.6923077,1.5769231,1.1923077
deser,H,5.3846154,1.2692307,1.1538461,1.1923077,1
całować,H,5.8461537,1.1153846,1.3076923,1.3076923,1.1923077
ulga,H,5.423077,1,1.1153846,1.1153846,1
miś,H,5.1923075,1.0769231,1.5769231,1.4230769,1
kwiat,H,5.3846154,1.1538461,1.4230769,1.2692307,1.1538461
Paryż,H,5.1538463,1.1153846,1.3846154,1.4615384,1.0384616
wakacje,H,5.9615383,1.1538461,1.6538461,1.6538461,1.1153846
optymistyczny,H,5.6538463,1.1538461,1.2692307,1.4230769,1.1153846
róża,H,5.0384617,1.3461539,1.6538461,1.3846154,1.0384616
spokojny,H,5.4615383,1.3076923,1.2692307,1.6153846,1.1538461
polana,H,5.4615383,1.3461539,1.5,1.8076923,1.3461539
spokój,H,5.730769,1.3846154,1.8846154,1.6923077,1.3461539
cud,H,5.6538463,1.3846154,1.3846154,1.8846154,1.2692307
sierpień,H,5.1923075,1.5,1.6923077,1.3461539,1.2307693
truskawkowy,H,5.076923,1.1923077,1.2307693,1.4615384,1.3461539
śliczny,H,5.3846154,1.2307693,1.2692307,1.3461539,1.2307693
sobota,H,5.076923,1.3846154,1.4230769,1.5769231,1.4615384
