word,meanAnger
zmartwion,2.1538463
bezimienn,2.0384614
kondolencj,2.7407408
cmentarz,2.1851852
przygnębion,2.7407408
jąkał,2.1851852
piorun,2.074074
panik,3.074074
wątpliwość,2.7407408
zagraż,3.7777777
stud,1.6666666
spad,2.8888888
przerażając,1.962963
tunel,1.6666666
zjaw,1.5555556
kos,2.3703704
napi,2.8148148
wichur,2.7037036
sztorm,2.1111112
wypowiedź,1.3846154
psychik,1.6923077
amunic,2.3461537
ryzykown,2.1153846
kopal,1.1538461
odpowiad,1.9615384
wynik,1.8076923
uciek,2.3846154
zmian,2.0769231
typow,1.6538461
anonim,2.1923077
broń,2.7307692
potencjaln,1.5384616
diagnozow,1.4230769
strom,1.6153846
policjant,2.0384614
ostr,2.4230769
warun,3.1153846
uważ,1.9230769
tygrys,1.1923077
wyrocz,1.8461539
straszn,2.1153846
straszyć,2.9230769
przep,2.4230769
radar,2.9615386
lęk,2.4615386
niepokój,2.4230769
pszczoł,1.3846154
spadzist,1.7307693
mikrofon,1.4230769
hipnot,1.4814814
olbrzym,1.5185186
zaryzykow,1.925926
zemdl,1.925926
narkoz,1.7777778
sprawozd,2.148148
rozpoczyn,1.5185186
przerażon,3.074074
potwór,2.8148148
szczyp,1.7407408
dentys,2.5925925
burz,2.2222223
rewir,1.962963
funkcjonariusz,2.7037036
ostrzeg,2.0370371
niespokojn,3.1111112
sfor,1.8148148
puk,1.8461539
rekin,2.3846154
benzyn,1.8461539
opresj,3.5
chwiejn,2.5769231
bezdenn,1.5769231
anomal,2.6153846
nożyczk,2.0384614
omen,2.2307692
zastrzyk,2.1538463
testow,2.1153846
ryzyko,2.2307692
test,2.5769231
szklan,1.5
ścig,3.5384614
pełnomocnik,1.9615384
ołów,2.0384614
wybór,1.8846154
gaz,2.3076923
komisj,2.6153846
przyszłość,1.7692307
speszon,2.3846154
trans,1.8076923
głębok,1.6153846
byk,2.7692308
arm,2.7307692
igł,2.1923077
czeluść,1.9230769
duch,1.8076923
horror,2.0769231
rektor,1.8461539
trzęsawisko,2.3076923
kurator,2.9615386
adwokat,2.2307692
skalpel,2.1923077
ciark,1.9615384
pan,2.8076923
nastaw,2.5769231
prognozow,1.7692307
występow,1.7307693
ostrzeż,3.1538463
czujn,1.8846154
defensywn,2.3846154
lawin,2.6153846
szerszeń,2.8076923
szok,2.6923077
propozyc,1.7692307
obław,2.8461537
krawędź,2.0769231
pir,2.1923077
panter,1.5384616
rak,1.5769231
przecz,1.8846154
termin,2.1923077
grzmot,1.7307693
śledz,2.5384614
mum,1.3846154
czyh,2.1538463
kamuflow,1.5384616
dylemat,2.5
obstaw,1.8076923
magm,1.3846154
przestrzeg,2.3076923
thriller,1.6538461
drapieżn,1.8461539
przeczuw,1.5
płonąć,2.7307692
torped,1.6538461
łańcuch,2.2307692
tajn,1.8461539
żmij,2.3846154
zdziw,1.7307693
nieoczekiwan,1.8461539
zalęknion,1.9230769
trzęs,2.4230769
weryfikow,2
cień,1.1538461
przyrzek,1.5384616
dreszcz,1.6923077
maniakaln,2.5
kłuć,2.6538463
przysięg,1.4230769
obaw,2.4230769
sympt,1.7692307
niebezpieczeństwo,3.2307692
tajfun,3.1153846
szpon,2.3846154
zdziwion,1.8846154
obłąkan,2.3076923
alarm,3.0384614
pustynn,1.3076923
agent,2.5769231
zbocz,1.2962962
lampart,1.8888888
bojaźliw,2.1111112
sędz,2.074074
sąd,2.851852
arsen,1.5555556
krokodyl,1.8888888
mocarstwo,1.8518518
policyjn,2.3333333
pił,2.1851852
zakład,2.074074
owad,2.4444444
bezg,1.962963
ocet,1.5555556
stęchł,2.1851852
cuchnąc,3.1851852
gnojówk,1.7037038
wymiotow,2.9230769
pająk,1.9230769
żab,1.3461539
zgnilizn,2.3846154
odrażając,2.3846154
zezow,1.6538461
pluć,4
gówno,3.3333333
odpad,3.1851852
padlin,2.4814816
gn,2.6296296
larw,2.2692308
gorzk,2.1923077
śluz,1.5
obwisł,3.1153846
żołąd,1.4615384
ślim,1.5384616
spleśniał,2.8461537
ohydn,3.0384614
rob,2.6153846
brodawk,2.2307692
gardziel,1.9615384
obślin,2
gołąb,1.7307693
zeps,2.5769231
żółć,1.9230769
ważk,1.5769231
brudn,2.6923077
śledź,1.1153846
celebr,2.6538463
ściek,2
wymi,1.5384616
czop,2.5384614
szczecin,1.9230769
obrzydliw,3.0384614
obrzydz,3.2692308
wstręt,3.1153846
pluskw,3.1923077
jelito,1.5769231
obskurn,2.7777777
tampon,2.148148
papieros,3.148148
frakc,1.8148148
podkreśl,1.7037038
belk,1.6296296
czapl,1.4444444
kolebk,1.4814814
profil,1.6296296
filtr,1.5185186
chorągiew,1.2222222
makulatur,1.5925926
segregator,1.6666666
prześcieradło,1.2962962
powiek,1.4814814
ruchliw,1.3846154
golark,2.0769231
pióro,1.3461539
część,1.5769231
gleb,1.8846154
miotł,1.6923077
dzban,1.3461539
rzecz,1.4230769
punkt,1.6923077
wat,1.6153846
schod,2
obrót,1.4230769
wariant,1.6923077
gaz,1.9230769
drob,1.1923077
metr,1.1538461
kowadło,1.4615384
masywn,1.7692307
zapotrzebow,1.4615384
wytwórc,1.3461539
kręp,1.5384616
kub,1.1923077
kanon,1.7307693
murzyn,1.5769231
sufit,1.3076923
reg,1.1923077
kostk,1.3076923
przedmiot,1.2692307
magnes,1.3461539
biblijn,1.5
stan,1.4615384
ręczn,1.3461539
ścięgno,1.5925926
atlas,1.2222222
flaming,1.2962962
słowotwórcz,1.1481482
wiadro,1.3333334
kos,1.1111112
hebel,1.7407408
gromadn,1.3703704
wentylow,1.2962962
pokrywk,1.2962962
karafk,1.2222222
atrament,1.5185186
traszk,1.1851852
wzgląd,1.5185186
zaj,1.2592592
mies,1.6666666
struktur,1.3703704
przesuw,1.5925926
mat,1.2962962
dźwig,1.4814814
skrz,1.4074074
ustal,1.4444444
ambasad,1.3703704
łyżk,1.3703704
zdan,1.2222222
klamk,1.4074074
owies,1.2222222
akcent,1.4814814
kurtk,1.1851852
nos,1.6666666
rami,1.2222222
opat,1.5555556
lufcik,1.3846154
nadawc,1.4615384
odstęp,1.7692307
temat,1.5
adresat,1.5769231
pastor,1.4230769
sygnalizator,1.9615384
traktor,1.5769231
stalówk,1.3846154
prezydium,1.9615384
kamizelk,1.3076923
fasol,1.6538461
nazwisko,1.4615384
borsuk,1.5
linijk,1.7307693
brzm,1.6538461
przedz,1.4615384
karton,1.8461539
przesiew,1.7307693
kopark,1.4230769
proso,1.4230769
sylab,1.4615384
dotyczyć,1.5384616
ceglan,1.2307693
kła,1.5
prostopadłościan,1.3846154
pomieszcz,1.5769231
położ,1.6538461
ujmow,1.5
archiwum,1.3846154
intonow,1.3846154
