word,meanAnger
skrucha,2.1923077
nieczuły,3.5769231
przemijać,3.3076923
ubolewać,3.2307692
zapłakany,3.2692308
klasztor,1.5
złom,2.3076923
apatyczny,3
wyczerpany,3.1153846
więdnąć,1.8076923
nikt,1.6153846
ślepy,2.2307692
zmartwiony,2.1538463
bezimienny,2.0384614
kondolencje,2.7407408
cmentarz,2.1851852
przygnębiony,2.7407408
jąkała,2.1851852
piorun,2.074074
panika,3.074074
wątpliwość,2.7407408
zagrażać,3.7777777
studnia,1.6666666
spadać,2.8888888
przerażający,1.962963
tunel,1.6666666
zjawa,1.5555556
kosa,2.3703704
napięcie,2.8148148
wichura,2.7037036
sztorm,2.1111112
wypowiedź,1.3846154
psychika,1.6923077
amunicja,2.3461537
ryzykowny,2.1153846
kopalnia,1.1538461
odpowiadać,1.9615384
wynik,1.8076923
uciekać,2.3846154
zmiana,2.0769231
typować,1.6538461
anonim,2.1923077
broń,2.7307692
potencjalny,1.5384616
diagnozować,1.4230769
stromy,1.6153846
policjant,2.0384614
ostrze,2.4230769
warunek,3.1153846
uważać,1.9230769
tygrys,1.1923077
wyrocznia,1.8461539
straszny,2.1153846
straszyć,2.9230769
przepaść,2.4230769
radar,2.9615386
lęk,2.4615386
niepokój,2.4230769
pszczoła,1.3846154
spadzisty,1.7307693
mikrofon,1.4230769
hipnotyczny,1.4814814
olbrzymi,1.5185186
zaryzykować,1.925926
zemdleć,1.925926
narkoza,1.7777778
sprawozdanie,2.148148
rozpoczynać,1.5185186
przerażony,3.074074
potwór,2.8148148
szczypce,1.7407408
dentysta,2.5925925
burzowy,2.2222223
rewir,1.962963
funkcjonariusz,2.7037036
ostrzegać,2.0370371
niespokojny,3.1111112
sfora,1.8148148
pukać,1.8461539
rekin,2.3846154
benzyna,1.8461539
opresja,3.5
chwiejny,2.5769231
bezdenny,1.5769231
anomalia,2.6153846
nożyczki,2.0384614
omen,2.2307692
zastrzyk,2.1538463
testować,2.1153846
ryzyko,2.2307692
test,2.5769231
szklany,1.5
ścigać,3.5384614
pełnomocnik,1.9615384
ołów,2.0384614
wybór,1.8846154
gaz,2.3076923
komisja,2.6153846
przyszłość,1.7692307
speszony,2.3846154
trans,1.8076923
głęboki,1.6153846
byk,2.7692308
armia,2.7307692
igła,2.1923077
czeluść,1.9230769
duch,1.8076923
horror,2.0769231
rektor,1.8461539
trzęsawisko,2.3076923
kurator,2.9615386
adwokat,2.2307692
skalpel,2.1923077
ciarki,1.9615384
paniczny,2.8076923
nastawać,2.5769231
prognozować,1.7692307
występować,1.7307693
ostrzeżenie,3.1538463
czujny,1.8846154
defensywny,2.3846154
lawina,2.6153846
szerszeń,2.8076923
szok,2.6923077
propozycja,1.7692307
obława,2.8461537
krawędź,2.0769231
pirania,2.1923077
pantera,1.5384616
rakieta,1.5769231
przeczucie,1.8846154
termin,2.1923077
grzmot,1.7307693
śledzić,2.5384614
mumia,1.3846154
czyhać,2.1538463
kamuflować,1.5384616
dylemat,2.5
obstawiać,1.8076923
magma,1.3846154
przestrzegać,2.3076923
thriller,1.6538461
drapieżny,1.8461539
przeczuwać,1.5
płonąć,2.7307692
torpeda,1.6538461
łańcuch,2.2307692
tajny,1.8461539
żmija,2.3846154
zdziwienie,1.7307693
nieoczekiwany,1.8461539
zalękniony,1.9230769
trzęsienie,2.4230769
weryfikować,2
cień,1.1538461
przyrzekać,1.5384616
dreszcz,1.6923077
maniakalny,2.5
kłuć,2.6538463
przysięgać,1.4230769
obawa,2.4230769
symptom,1.7692307
niebezpieczeństwo,3.2307692
tajfun,3.1153846
szpon,2.3846154
zdziwiony,1.8846154
obłąkany,2.3076923
alarm,3.0384614
pustynny,1.3076923
agent,2.5769231
zbocze,1.2962962
lampart,1.8888888
bojaźliwy,2.1111112
sędzia,2.074074
sąd,2.851852
arsenał,1.5555556
krokodyl,1.8888888
mocarstwo,1.8518518
policyjny,2.3333333
piła,2.1851852
zakład,2.074074
owad,2.4444444
